,ROOTNAME,PROPOSID,LINENUM,SUNANGLE,MOONANGL,SUN_ALT,DATE-OBS,EXPTIME,PA_V3,POSTARG1,POSTARG2,FILTER,PATTERN1,LTV1,LTV2,LTM1_1,LTM2_2,PA_APER,VAFACTOR,ORIENTAT,RA_APER,DEC_APER
36,idwbk3z0q,15510,K3.001,143.428955,109.977898,14.651683,2019-11-29,349.232727,228.001205,-28.613661,-32.611141,F105W,NONE,0.0,0.0,1.0,1.0,-87.3078,0.9999788542301,-87.30327028505151,44.53425333848,-8.965652990247
37,idwbk3z9q,15510,K3.007,143.372086,109.018784,-29.790133,2019-11-29,699.232483,228.001099,-26.24366,-31.039141,G102,NONE,0.0,0.0,1.0,1.0,-87.3079,0.9999462716569,-87.30791771224993,44.53472622222,-8.965015893307
38,idwbk5lxq,15510,K5.003,106.082558,95.049538,-9.282641,2020-01-12,699.232483,228.001099,-27.26066,-31.40214,G102,NONE,0.0,0.0,1.0,1.0,-87.3079,0.9999055696876,-87.30791771224993,44.53461082185,-8.965293345479
39,idwbk6mcq,15510,K6.004,105.953445,96.968117,-39.996098,2020-01-12,699.232483,228.001099,-25.90766,-30.19314,G141,NONE,0.0,0.0,1.0,1.0,-87.3079,0.999892514608,-87.30791771224993,44.53496830421,-8.964933700631
40,idwbk6miq,15510,K6.008,105.89257,97.873024,-40.093884,2020-01-12,599.232178,228.001099,-24.890659,-29.827141,G141,NONE,0.0,0.0,1.0,1.0,-87.3079,0.9998925775954,-87.30791771224993,44.53508454691,-8.964656287212
41,idwbk4czq,15510,K4.001,142.803955,99.715973,16.407206,2019-11-30,349.232727,228.001205,-28.613661,-32.611141,F140W,NONE,0.0,0.0,1.0,1.0,-87.3078,0.9999776080838,-87.30781580453576,44.53425333848,-8.965652990247
42,idwbp6lqq,15510,P6.002,106.12883,94.207489,-24.039057,2020-01-12,300.0,244.141205,0.0,0.0,F814W,WFC3-UVIS-DITHER-LINE-3PT,0.0,-1.0,1.0,1.0,-71.3117,0.9999036988919,-71.31178403704227,44.54379166667,-8.958138888889
43,idwbk3z3q,15510,K3.003,143.419937,109.819641,-29.618429,2019-11-29,699.232483,228.001099,-27.26066,-31.40214,G102,NONE,0.0,0.0,1.0,1.0,-87.3079,0.999947465548,-87.30791771224993,44.53461082185,-8.965293345479
44,idlk01jjq,15089,01.001,138.268539,133.379135,-40.122742,2019-09-28,49.230225,116.248703,0.0,0.0,F110W,WFC3-IR-DITHER-LINE-3PT,0.0,0.0,1.0,1.0,160.939,1.000063088164,160.939,44.54408333333,-8.958283333333
45,idlk02k1q,15089,02.002,138.372299,135.192337,-30.07836,2019-09-28,502.936462,116.248596,-0.20344,0.30304,G141,WFC3-IR-DITHER-BOX-MIN,0.0,0.0,1.0,1.0,160.939,1.00005005396,160.939,44.5441095765,-8.958185315992
